sale_id,sale_date,vehicle_type,brand,fuel_type,city,km_driven,vehicle_age_years,selling_price,procurement_cost,delivery_days,inspection_status,profit
1,2023-01-01 00:00:00,Bike,Bajaj,Petrol,Coimbatore,5422,7,81630,104199,6,Pass,-22569
2,2023-01-01 01:00:00,Bike,Yamaha,Petrol,Coimbatore,70428,6,46658,111782,1,Pass,-65124
3,2023-01-01 02:00:00,Bike,TVS,Petrol,Bangalore,52835,4,40797,134195,12,Pass,-93398
4,2023-01-01 03:00:00,Bike,Yamaha,Petrol,Hyderabad,14041,2,83799,127908,7,Pass,-44109
5,2023-01-01 04:00:00,Bike,Yamaha,Petrol,Chennai,20051,8,143301,52489,7,Pass,90812
6,2023-01-01 05:00:00,Bike,Hero,Petrol,Hyderabad,19881,6,77236,135059,10,Pass,-57823
7,2023-01-01 06:00:00,Bike,TVS,Petrol,Hyderabad,56173,9,31265,122507,9,Pass,-91242
8,2023-01-01 07:00:00,Bike,TVS,Electric,Bangalore,23448,9,150611,55309,14,Pass,95302
9,2023-01-01 08:00:00,Bike,TVS,Electric,Coimbatore,92764,7,146754,123173,12,Fail,23581
10,2023-01-01 09:00:00,Bike,Yamaha,Petrol,Coimbatore,59572,5,116426,43273,7,Pass,73153
11,2023-01-01 10:00:00,Bike,Bajaj,Petrol,Bangalore,68060,4,170378,62553,8,Pass,107825
12,2023-01-01 11:00:00,Bike,TVS,Petrol,Bangalore,82749,7,167957,44473,4,Pass,123484
13,2023-01-01 12:00:00,Bike,Yamaha,Petrol,Bangalore,2986,2,134681,76410,9,Pass,58271
14,2023-01-01 13:00:00,Bike,Hero,Petrol,Bangalore,67191,6,68826,139772,14,Pass,-70946
15,2023-01-01 14:00:00,Bike,Bajaj,Petrol,Bangalore,10582,1,80597,28679,1,Pass,51918
16,2023-01-01 15:00:00,Bike,Hero,Petrol,Chennai,84605,2,163515,107981,8,Pass,55534
17,2023-01-01 16:00:00,Bike,Bajaj,Petrol,Hyderabad,7586,1,122375,60310,3,Pass,62065
18,2023-01-01 17:00:00,Bike,Yamaha,Petrol,Hyderabad,68353,4,42084,98406,14,Fail,-56322
19,2023-01-01 18:00:00,Bike,Honda,Petrol,Hyderabad,70527,6,114447,75683,1,Pass,38764
20,2023-01-01 19:00:00,Bike,Bajaj,Petrol,Coimbatore,16416,9,29383,127765,2,Pass,-98382
21,2023-01-01 20:00:00,Bike,Hero,Electric,Chennai,15748,9,117313,40992,6,Pass,76321
22,2023-01-01 21:00:00,Bike,Yamaha,Petrol,Hyderabad,68547,0,59361,44433,5,Pass,14928
23,2023-01-01 22:00:00,Bike,Bajaj,Petrol,Coimbatore,24726,9,105294,91574,14,Pass,13720
24,2023-01-01 23:00:00,Bike,Honda,Petrol,Chennai,25525,8,86331,40933,3,Pass,45398
25,2023-01-02 00:00:00,Bike,Honda,Petrol,Chennai,48880,0,120057,60020,9,Pass,60037
26,2023-01-02 01:00:00,Bike,TVS,Petrol,Coimbatore,8348,0,176601,44236,8,Pass,132365
27,2023-01-02 02:00:00,Bike,TVS,Petrol,Chennai,14774,9,146685,73735,13,Pass,72950
28,2023-01-02 03:00:00,Bike,Hero,Petrol,Coimbatore,55045,7,121917,24770,3,Pass,97147
29,2023-01-02 04:00:00,Bike,Bajaj,Petrol,Hyderabad,96994,5,55932,84285,2,Pass,-28353
30,2023-01-02 05:00:00,Bike,Bajaj,Petrol,Coimbatore,35733,5,26908,125121,8,Pass,-98213
31,2023-01-02 06:00:00,Bike,TVS,Petrol,Chennai,16804,8,55412,137747,14,Pass,-82335
32,2023-01-02 07:00:00,Bike,Bajaj,Petrol,Hyderabad,11794,3,153319,50271,5,Pass,103048
33,2023-01-02 08:00:00,Bike,Bajaj,Petrol,Hyderabad,26925,7,108710,88391,9,Pass,20319
34,2023-01-02 09:00:00,Bike,Honda,Petrol,Bangalore,69211,3,27928,126682,1,Pass,-98754
35,2023-01-02 10:00:00,Bike,TVS,Electric,Bangalore,93811,1,90158,124633,10,Pass,-34475
36,2023-01-02 11:00:00,Bike,Yamaha,Petrol,Chennai,9925,7,57309,38439,3,Pass,18870
37,2023-01-02 12:00:00,Bike,TVS,Petrol,Coimbatore,92049,6,34280,110826,5,Pass,-76546
38,2023-01-02 13:00:00,Bike,Yamaha,Petrol,Coimbatore,93964,3,65449,26101,2,Pass,39348
39,2023-01-02 14:00:00,Bike,Honda,Petrol,Chennai,45490,8,51957,107776,3,Pass,-55819
40,2023-01-02 15:00:00,Bike,Hero,Petrol,Hyderabad,74246,8,95499,97319,4,Pass,-1820
41,2023-01-02 16:00:00,Bike,Bajaj,Petrol,Chennai,68795,7,118057,134070,4,Pass,-16013
42,2023-01-02 17:00:00,Bike,Honda,Electric,Chennai,16591,0,135065,59917,11,Pass,75148
43,2023-01-02 18:00:00,Bike,Bajaj,Petrol,Hyderabad,502,6,177767,107345,9,Pass,70422
44,2023-01-02 19:00:00,Bike,Hero,Petrol,Coimbatore,50911,4,99893,127923,1,Pass,-28030
45,2023-01-02 20:00:00,Bike,Hero,Petrol,Chennai,41458,6,50176,98459,12,Pass,-48283
46,2023-01-02 21:00:00,Bike,Honda,Petrol,Coimbatore,96196,8,174481,128289,9,Pass,46192
47,2023-01-02 22:00:00,Bike,Hero,Petrol,Chennai,21207,1,81967,95562,9,Pass,-13595
48,2023-01-02 23:00:00,Bike,Yamaha,Petrol,Hyderabad,15748,3,25987,56196,11,Pass,-30209
49,2023-01-03 00:00:00,Bike,Hero,Petrol,Hyderabad,71809,3,121854,38569,6,Pass,83285
50,2023-01-03 01:00:00,Bike,Bajaj,Petrol,Bangalore,78822,1,51015,134598,11,Fail,-83583
51,2023-01-03 02:00:00,Bike,Bajaj,Petrol,Hyderabad,52220,2,137350,56887,1,Pass,80463
52,2023-01-03 03:00:00,Bike,Bajaj,Electric,Bangalore,15537,7,91404,35893,11,Pass,55511
53,2023-01-03 04:00:00,Bike,Bajaj,Petrol,Chennai,67921,8,141751,102971,13,Pass,38780
54,2023-01-03 05:00:00,Bike,Yamaha,Electric,Coimbatore,82367,5,153807,70304,12,Pass,83503
55,2023-01-03 06:00:00,Bike,TVS,Petrol,Hyderabad,41112,9,73231,138299,6,Pass,-65068
56,2023-01-03 07:00:00,Bike,Honda,Electric,Hyderabad,88531,1,53305,117428,8,Pass,-64123
57,2023-01-03 08:00:00,Bike,Bajaj,Petrol,Hyderabad,13950,1,79306,47399,5,Pass,31907
58,2023-01-03 09:00:00,Bike,Hero,Petrol,Chennai,9991,6,146139,132083,5,Pass,14056
59,2023-01-03 10:00:00,Bike,Bajaj,Electric,Bangalore,75304,7,43318,40236,1,Pass,3082
60,2023-01-03 11:00:00,Bike,Hero,Petrol,Chennai,93793,7,169318,107735,1,Pass,61583
61,2023-01-03 12:00:00,Bike,Hero,Electric,Coimbatore,7291,5,46584,100870,8,Pass,-54286
62,2023-01-03 13:00:00,Bike,Bajaj,Petrol,Chennai,28814,9,40169,129679,13,Fail,-89510
63,2023-01-03 14:00:00,Bike,Yamaha,Petrol,Coimbatore,52383,7,50968,113753,5,Pass,-62785
64,2023-01-03 15:00:00,Bike,Hero,Petrol,Hyderabad,94619,0,162457,64531,8,Pass,97926
65,2023-01-03 16:00:00,Bike,Hero,Petrol,Coimbatore,87586,8,147684,95570,10,Pass,52114
66,2023-01-03 17:00:00,Bike,Bajaj,Petrol,Coimbatore,66129,0,140391,111621,2,Pass,28770
67,2023-01-03 18:00:00,Bike,Hero,Petrol,Bangalore,10467,2,50444,24442,4,Pass,26002
68,2023-01-03 19:00:00,Bike,Hero,Petrol,Coimbatore,82254,8,131081,71437,13,Fail,59644
69,2023-01-03 20:00:00,Bike,Bajaj,Petrol,Coimbatore,43720,4,87497,75342,11,Pass,12155
70,2023-01-03 21:00:00,Bike,Bajaj,Petrol,Chennai,74663,8,30362,93179,14,Pass,-62817
71,2023-01-03 22:00:00,Bike,Honda,Petrol,Hyderabad,5447,8,124254,50069,10,Fail,74185
72,2023-01-03 23:00:00,Bike,Yamaha,Petrol,Chennai,39919,5,164322,88246,9,Pass,76076
73,2023-01-04 00:00:00,Bike,Yamaha,Petrol,Chennai,56631,0,93354,53560,13,Pass,39794
74,2023-01-04 01:00:00,Bike,Hero,Petrol,Hyderabad,89214,9,61368,73070,3,Pass,-11702
75,2023-01-04 02:00:00,Bike,Yamaha,Petrol,Hyderabad,29376,6,69109,57427,6,Pass,11682
76,2023-01-04 03:00:00,Bike,Hero,Petrol,Coimbatore,88944,5,52426,75496,11,Pass,-23070
77,2023-01-04 04:00:00,Bike,Honda,Petrol,Coimbatore,20471,8,142632,79557,7,Fail,63075
78,2023-01-04 05:00:00,Bike,Bajaj,Electric,Bangalore,63039,6,137637,87752,3,Pass,49885
79,2023-01-04 06:00:00,Bike,Bajaj,Petrol,Chennai,98620,3,64023,92248,1,Pass,-28225
80,2023-01-04 07:00:00,Bike,Bajaj,Petrol,Hyderabad,49728,6,147268,85441,2,Pass,61827
81,2023-01-04 08:00:00,Bike,Yamaha,Petrol,Coimbatore,74995,1,134211,63534,11,Pass,70677
82,2023-01-04 09:00:00,Bike,Honda,Petrol,Hyderabad,28761,5,119897,119303,14,Pass,594
83,2023-01-04 10:00:00,Bike,Yamaha,Petrol,Coimbatore,61760,5,172079,42930,10,Pass,129149
84,2023-01-04 11:00:00,Bike,Yamaha,Petrol,Bangalore,81871,1,104777,111728,7,Pass,-6951
85,2023-01-04 12:00:00,Bike,Honda,Petrol,Bangalore,85293,3,69858,138295,7,Pass,-68437
86,2023-01-04 13:00:00,Bike,Honda,Petrol,Hyderabad,3846,7,115042,104042,12,Pass,11000
87,2023-01-04 14:00:00,Bike,Honda,Electric,Bangalore,96843,7,108098,130287,1,Pass,-22189
88,2023-01-04 15:00:00,Bike,Honda,Electric,Hyderabad,96454,7,45239,22288,10,Pass,22951
89,2023-01-04 16:00:00,Bike,Bajaj,Petrol,Coimbatore,56676,7,169137,124570,7,Pass,44567
90,2023-01-04 17:00:00,Bike,TVS,Petrol,Chennai,52800,0,135951,110547,10,Fail,25404
91,2023-01-04 18:00:00,Bike,TVS,Petrol,Bangalore,11840,1,66291,96122,11,Pass,-29831
92,2023-01-04 19:00:00,Bike,Honda,Petrol,Coimbatore,33512,3,63805,76518,6,Pass,-12713
93,2023-01-04 20:00:00,Bike,TVS,Petrol,Chennai,35893,8,123831,47400,11,Pass,76431
94,2023-01-04 21:00:00,Bike,TVS,Petrol,Chennai,75633,2,174515,137609,6,Pass,36906
95,2023-01-04 22:00:00,Bike,Honda,Petrol,Chennai,26057,5,34290,16567,7,Pass,17723
96,2023-01-04 23:00:00,Bike,TVS,Petrol,Coimbatore,64704,6,156283,62878,7,Pass,93405
97,2023-01-05 00:00:00,Bike,Yamaha,Petrol,Coimbatore,73773,7,108634,63850,1,Pass,44784
98,2023-01-05 01:00:00,Bike,Hero,Electric,Hyderabad,17776,6,44072,16094,10,Pass,27978
99,2023-01-05 02:00:00,Bike,Hero,Electric,Chennai,55139,2,68290,26135,5,Fail,42155
100,2023-01-05 03:00:00,Bike,Honda,Petrol,Chennai,7810,5,110186,94044,14,Pass,16142
101,2023-01-05 04:00:00,Bike,Bajaj,Petrol,Chennai,35667,4,40115,60113,14,Pass,-19998
102,2023-01-05 05:00:00,Bike,Honda,Electric,Hyderabad,85380,9,30149,73791,8,Pass,-43642
103,2023-01-05 06:00:00,Bike,Bajaj,Petrol,Chennai,10891,3,66992,24684,8,Pass,42308
104,2023-01-05 07:00:00,Bike,Hero,Petrol,Coimbatore,51121,0,42716,107783,3,Pass,-65067
105,2023-01-05 08:00:00,Bike,Honda,Petrol,Chennai,11392,6,122724,86727,3,Pass,35997
106,2023-01-05 09:00:00,Bike,Yamaha,Petrol,Bangalore,77233,7,38621,98378,7,Pass,-59757
107,2023-01-05 10:00:00,Bike,TVS,Petrol,Coimbatore,79086,1,162892,73552,4,Pass,89340
108,2023-01-05 11:00:00,Bike,Bajaj,Electric,Hyderabad,36642,6,138065,23046,6,Pass,115019
109,2023-01-05 12:00:00,Bike,TVS,Electric,Chennai,46179,5,55399,19934,9,Pass,35465
110,2023-01-05 13:00:00,Bike,TVS,Petrol,Bangalore,42115,4,144374,74556,10,Pass,69818
111,2023-01-05 14:00:00,Bike,Honda,Petrol,Hyderabad,48053,3,170074,61806,2,Pass,108268
112,2023-01-05 15:00:00,Bike,TVS,Electric,Hyderabad,79571,1,68098,16354,2,Fail,51744
113,2023-01-05 16:00:00,Bike,Yamaha,Petrol,Coimbatore,41502,9,70511,119777,6,Pass,-49266
114,2023-01-05 17:00:00,Bike,TVS,Electric,Hyderabad,71158,5,78243,110352,3,Pass,-32109
115,2023-01-05 18:00:00,Bike,Honda,Petrol,Hyderabad,10352,4,140131,138092,1,Pass,2039
116,2023-01-05 19:00:00,Bike,Yamaha,Petrol,Hyderabad,5887,1,53750,68046,2,Pass,-14296
117,2023-01-05 20:00:00,Bike,Hero,Petrol,Hyderabad,97795,9,173382,126098,14,Pass,47284
118,2023-01-05 21:00:00,Bike,TVS,Petrol,Chennai,40494,6,80398,80064,13,Pass,334
119,2023-01-05 22:00:00,Bike,Honda,Petrol,Chennai,34225,5,69345,72184,7,Pass,-2839
120,2023-01-05 23:00:00,Bike,Hero,Petrol,Chennai,73182,8,118430,17963,4,Pass,100467
121,2023-01-06 00:00:00,Bike,Hero,Petrol,Chennai,1060,9,139921,42424,12,Pass,97497
122,2023-01-06 01:00:00,Bike,Bajaj,Petrol,Bangalore,57065,4,116729,95039,2,Pass,21690
123,2023-01-06 02:00:00,Bike,Yamaha,Petrol,Chennai,1812,8,76843,18042,11,Pass,58801
124,2023-01-06 03:00:00,Bike,TVS,Electric,Hyderabad,18705,8,166294,110777,12,Pass,55517
125,2023-01-06 04:00:00,Bike,Honda,Electric,Chennai,12095,0,156458,120277,12,Pass,36181
126,2023-01-06 05:00:00,Bike,Bajaj,Petrol,Chennai,88066,4,89334,22139,8,Pass,67195
127,2023-01-06 06:00:00,Bike,Yamaha,Petrol,Coimbatore,21829,8,92170,26226,4,Pass,65944
128,2023-01-06 07:00:00,Bike,Bajaj,Petrol,Hyderabad,68687,6,65878,120234,4,Pass,-54356
129,2023-01-06 08:00:00,Bike,Yamaha,Petrol,Chennai,76042,5,178024,95298,2,Pass,82726
130,2023-01-06 09:00:00,Bike,Yamaha,Electric,Chennai,36145,5,115352,98652,14,Pass,16700
131,2023-01-06 10:00:00,Bike,TVS,Petrol,Chennai,88002,6,177601,137558,1,Pass,40043
132,2023-01-06 11:00:00,Bike,Yamaha,Petrol,Bangalore,93882,0,43383,53108,1,Fail,-9725
133,2023-01-06 12:00:00,Bike,Bajaj,Electric,Chennai,87810,3,160973,85647,3,Pass,75326
134,2023-01-06 13:00:00,Bike,Yamaha,Petrol,Coimbatore,70119,0,67889,83617,6,Pass,-15728
135,2023-01-06 14:00:00,Bike,TVS,Petrol,Hyderabad,34013,5,39633,44815,7,Pass,-5182
136,2023-01-06 15:00:00,Bike,TVS,Electric,Hyderabad,9249,3,87244,22802,13,Pass,64442
137,2023-01-06 16:00:00,Bike,Bajaj,Petrol,Chennai,31283,0,154177,57230,9,Pass,96947
138,2023-01-06 17:00:00,Bike,Hero,Electric,Chennai,61145,8,175235,137215,5,Pass,38020
139,2023-01-06 18:00:00,Bike,Hero,Petrol,Chennai,83361,3,166779,78372,9,Pass,88407
140,2023-01-06 19:00:00,Bike,Yamaha,Petrol,Hyderabad,53675,5,108597,128884,8,Pass,-20287
141,2023-01-06 20:00:00,Bike,Honda,Petrol,Hyderabad,84716,6,40115,69020,1,Pass,-28905
142,2023-01-06 21:00:00,Bike,Yamaha,Electric,Bangalore,63209,7,100379,98449,11,Pass,1930
143,2023-01-06 22:00:00,Bike,Bajaj,Petrol,Coimbatore,17823,8,64979,32465,12,Pass,32514
144,2023-01-06 23:00:00,Bike,Bajaj,Petrol,Bangalore,51262,8,94377,22994,3,Pass,71383
145,2023-01-07 00:00:00,Bike,Bajaj,Petrol,Coimbatore,88720,7,31416,18531,8,Pass,12885
146,2023-01-07 01:00:00,Bike,Bajaj,Petrol,Bangalore,64722,9,166705,24343,9,Pass,142362
147,2023-01-07 02:00:00,Bike,Bajaj,Petrol,Hyderabad,34993,2,153785,74066,14,Pass,79719
148,2023-01-07 03:00:00,Bike,TVS,Petrol,Bangalore,58828,1,156666,114020,4,Pass,42646
149,2023-01-07 04:00:00,Bike,Hero,Petrol,Coimbatore,12713,4,170465,21229,14,Pass,149236
150,2023-01-07 05:00:00,Bike,Bajaj,Petrol,Chennai,97867,0,155364,109311,14,Pass,46053
151,2023-01-07 06:00:00,Bike,Honda,Petrol,Coimbatore,47430,2,122507,107302,14,Pass,15205
152,2023-01-07 07:00:00,Bike,Honda,Petrol,Chennai,28213,0,143243,97124,12,Pass,46119
153,2023-01-07 08:00:00,Bike,Honda,Petrol,Hyderabad,73223,2,160933,103704,6,Pass,57229
154,2023-01-07 09:00:00,Bike,Honda,Electric,Coimbatore,98836,3,128070,59789,4,Fail,68281
155,2023-01-07 10:00:00,Bike,TVS,Petrol,Bangalore,33083,6,61126,59069,13,Pass,2057
156,2023-01-07 11:00:00,Bike,Honda,Electric,Coimbatore,80444,4,105382,117398,9,Fail,-12016
157,2023-01-07 12:00:00,Bike,Bajaj,Petrol,Chennai,22869,4,43228,102402,2,Pass,-59174
158,2023-01-07 13:00:00,Bike,Yamaha,Petrol,Hyderabad,48428,0,49009,135428,6,Pass,-86419
159,2023-01-07 14:00:00,Bike,Honda,Petrol,Bangalore,69450,7,25094,24524,11,Pass,570
160,2023-01-07 15:00:00,Bike,TVS,Petrol,Coimbatore,20010,3,105636,136907,13,Pass,-31271
161,2023-01-07 16:00:00,Bike,TVS,Petrol,Chennai,12620,9,123453,139928,3,Pass,-16475
162,2023-01-07 17:00:00,Bike,Honda,Petrol,Bangalore,99075,4,173502,103074,10,Pass,70428
163,2023-01-07 18:00:00,Bike,Yamaha,Petrol,Hyderabad,5795,1,79486,123345,4,Pass,-43859
164,2023-01-07 19:00:00,Bike,Honda,Petrol,Bangalore,20960,0,115510,101762,2,Pass,13748
165,2023-01-07 20:00:00,Bike,TVS,Petrol,Hyderabad,15463,8,45860,78103,11,Pass,-32243
166,2023-01-07 21:00:00,Bike,Hero,Petrol,Bangalore,77616,1,97812,23103,8,Pass,74709
167,2023-01-07 22:00:00,Bike,Bajaj,Petrol,Coimbatore,88322,5,91087,73581,10,Pass,17506
168,2023-01-07 23:00:00,Bike,TVS,Petrol,Chennai,27828,0,164558,98938,8,Pass,65620
169,2023-01-08 00:00:00,Bike,Honda,Petrol,Coimbatore,85129,0,74607,69203,1,Pass,5404
170,2023-01-08 01:00:00,Bike,Bajaj,Petrol,Coimbatore,22105,8,165817,30090,10,Pass,135727
171,2023-01-08 02:00:00,Bike,Honda,Petrol,Hyderabad,45313,3,131664,30915,6,Pass,100749
172,2023-01-08 03:00:00,Bike,Honda,Petrol,Hyderabad,46871,8,43330,56477,1,Pass,-13147
173,2023-01-08 04:00:00,Bike,Hero,Petrol,Hyderabad,48098,4,145803,71987,6,Pass,73816
174,2023-01-08 05:00:00,Bike,Bajaj,Petrol,Coimbatore,61276,6,68336,114742,7,Pass,-46406
175,2023-01-08 06:00:00,Bike,Bajaj,Petrol,Bangalore,72758,0,33070,68238,2,Pass,-35168
176,2023-01-08 07:00:00,Bike,Hero,Petrol,Bangalore,41469,5,26320,102047,9,Pass,-75727
177,2023-01-08 08:00:00,Bike,TVS,Petrol,Coimbatore,37412,7,114043,131740,8,Pass,-17697
178,2023-01-08 09:00:00,Bike,Honda,Petrol,Coimbatore,38874,0,63921,137217,9,Pass,-73296
179,2023-01-08 10:00:00,Bike,Yamaha,Petrol,Chennai,72802,8,31589,30029,10,Pass,1560
180,2023-01-08 11:00:00,Bike,Honda,Electric,Hyderabad,63284,2,117995,111367,13,Pass,6628
181,2023-01-08 12:00:00,Bike,Honda,Petrol,Hyderabad,50382,0,40589,104067,4,Pass,-63478
182,2023-01-08 13:00:00,Bike,TVS,Electric,Coimbatore,16428,0,61375,68520,4,Pass,-7145
183,2023-01-08 14:00:00,Bike,Honda,Petrol,Coimbatore,21774,5,68085,85053,12,Pass,-16968
184,2023-01-08 15:00:00,Bike,Hero,Petrol,Bangalore,34916,5,85840,66464,8,Pass,19376
185,2023-01-08 16:00:00,Bike,Hero,Petrol,Coimbatore,86648,0,123704,36961,1,Pass,86743
186,2023-01-08 17:00:00,Bike,Bajaj,Petrol,Bangalore,61498,2,122047,41835,8,Pass,80212
187,2023-01-08 18:00:00,Bike,Yamaha,Petrol,Coimbatore,29547,6,178498,42725,7,Pass,135773
188,2023-01-08 19:00:00,Bike,Honda,Petrol,Chennai,43856,9,55982,40357,12,Pass,15625
189,2023-01-08 20:00:00,Bike,Honda,Petrol,Chennai,37634,2,84720,124209,7,Pass,-39489
190,2023-01-08 21:00:00,Bike,TVS,Petrol,Bangalore,67542,2,172818,16244,9,Pass,156574
191,2023-01-08 22:00:00,Bike,Hero,Petrol,Hyderabad,51810,2,53514,82952,13,Pass,-29438
192,2023-01-08 23:00:00,Bike,Yamaha,Petrol,Chennai,81258,6,159923,63061,10,Pass,96862
193,2023-01-09 00:00:00,Bike,Bajaj,Petrol,Bangalore,12863,3,175868,21490,7,Pass,154378
194,2023-01-09 01:00:00,Bike,Hero,Petrol,Coimbatore,85649,3,101034,135856,2,Pass,-34822
195,2023-01-09 02:00:00,Bike,Bajaj,Petrol,Coimbatore,45063,2,123388,138855,1,Pass,-15467
